Transaction_ID,Logistics_Key,Channel,Processing_Time_Days,Alert_Type
TXN-102630,2,In-Store,10.0,PROCESSING_DELAY_P90
TXN-127852,8,Desktop,9.0,PROCESSING_DELAY_P90
TXN-153981,9,In-Store,10.0,PROCESSING_DELAY_P90
TXN-117813,12,Desktop,10.0,PROCESSING_DELAY_P90
TXN-136131,13,In-Store,10.0,PROCESSING_DELAY_P90
TXN-145618,18,Desktop,9.0,PROCESSING_DELAY_P90
TXN-151602,19,Desktop,10.0,PROCESSING_DELAY_P90
TXN-130395,34,App,9.0,PROCESSING_DELAY_P90
TXN-145939,51,Mobile,9.0,PROCESSING_DELAY_P90
TXN-113004,56,Desktop,10.0,PROCESSING_DELAY_P90
TXN-130295,59,Mobile,9.0,PROCESSING_DELAY_P90
TXN-109185,62,In-Store,10.0,PROCESSING_DELAY_P90
TXN-146454,70,Mobile,9.0,PROCESSING_DELAY_P90
TXN-104811,73,Mobile,9.0,PROCESSING_DELAY_P90
TXN-124502,76,In-Store,9.0,PROCESSING_DELAY_P90
TXN-114674,81,Mobile,9.0,PROCESSING_DELAY_P90
TXN-112577,103,App,10.0,PROCESSING_DELAY_P90
TXN-108098,104,Mobile,10.0,PROCESSING_DELAY_P90
TXN-131272,105,App,10.0,PROCESSING_DELAY_P90
TXN-107031,106,Desktop,9.0,PROCESSING_DELAY_P90
TXN-152643,111,In-Store,9.0,PROCESSING_DELAY_P90
TXN-134581,112,Desktop,10.0,PROCESSING_DELAY_P90
TXN-149798,121,In-Store,9.0,PROCESSING_DELAY_P90
TXN-134013,123,Desktop,10.0,PROCESSING_DELAY_P90
TXN-132050,140,In-Store,9.0,PROCESSING_DELAY_P90
TXN-103402,19,In-Store,9.0,PROCESSING_DELAY_P90
TXN-142006,143,App,9.0,PROCESSING_DELAY_P90
TXN-118692,150,Mobile,9.0,PROCESSING_DELAY_P90
TXN-126035,161,Mobile,10.0,PROCESSING_DELAY_P90
TXN-144011,164,Desktop,10.0,PROCESSING_DELAY_P90
TXN-139584,171,Mobile,9.0,PROCESSING_DELAY_P90
