Customer_Ref,Customer_Hash,City,State_Full,Customer_Key
DE-CUST-3388,0xd76f96f0,Belzig,Sachsen,1
DE-CUST-8722,0xc5f064e1,Lichtenfels,Berlin,2
DE-CUST-7863,0x1c068e6f,Dinkelsbühl,,3
DE-CUST-626,0xf51ed93f,Kulmbach,Hessen,4
DE-CUST-7020,0xfd739d0,Germersheim,Nordrhein-Westfalen,5
DE-CUST-2044,0x5d61cb5a,Quedlinburg,Hessen,6
DE-CUST-8613,0x2b03d340,Jena,Sachsen,7
DE-CUST-7366,0x5ad43289,Ochsenfurt,Berlin,8
DE-CUST-6074,0xaec923ee,Wernigerode,Berlin,9
DE-CUST-1637,0xf277acc2,Biedenkopf,Nordrhein-Westfalen,10
DE-CUST-176,0xa0b8ecf2,Rochlitz,Berlin,11
DE-CUST-9683,0xdc308bcf,Eberswalde,Bayern,12
DE-CUST-194,0x854d4d52,Dessau,Hessen,13
DE-CUST-819,0xdce6f586,Anklam,Nordrhein-Westfalen,14
DE-CUST-5916,0x72ce9fd9,Bad Freienwalde,Berlin,15
DE-CUST-6207,0xe121a733,Bremervörde,Nordrhein-Westfalen,16
DE-CUST-5240,0xa1be33b0,Miltenberg,Berlin,17
DE-CUST-5075,0xb8621263,Fürstenfeldbruck,Bayern,18
DE-CUST-6036,0x2ecfc210,Hannover,Berlin,19
DE-CUST-544,0x4bb45441,Stade,Hessen,20
DE-CUST-9488,0x353e0ccd,Hannoversch Münden,Sachsen,21
DE-CUST-3297,0xcec5cd4,Fallingbostel,Hessen,22
DE-CUST-3438,0xf2a73757,Dieburg,Hessen,23
DE-CUST-1669,0xec841a12,Vilsbiburg,Bayern,24
DE-CUST-2959,0x3ca4008b,Bitterfeld,Hessen,25
DE-CUST-2551,0xb6e8a0ef,Weißwasser,Nordrhein-Westfalen,26
DE-CUST-3401,0x61acfad5,Kleve,Berlin,27
DE-CUST-3362,0xfa77ec33,Norden,Berlin,28
DE-CUST-6434,0x77f7afaa,Neunburg vorm Wald,Hessen,29
DE-CUST-4509,0x4d75d103,Hansestadttralsund,Berlin,30
DE-CUST-3292,0xaf77a1fa,Eckernförde,Berlin,31
DE-CUST-1599,0xf5ee914b,Freital,,32
DE-CUST-9868,0xa29dd7b0,Parsberg,Sachsen,33
DE-CUST-3901,0x887cdd6,Gunzenhausen,Berlin,34
DE-CUST-6681,0x31efe73a,Celle,Berlin,35
DE-CUST-2485,0x538cdbd3,Aue,Nordrhein-Westfalen,36
DE-CUST-9338,0x2290d36b,Werdau,Berlin,37
DE-CUST-9971,0x85aea66e,Amberg,Nordrhein-Westfalen,38
DE-CUST-8411,0x481c8966,Aachen,Sachsen,39
DE-CUST-9662,0x55127a56,Stadtsteinach,Bayern,40
DE-CUST-7163,0x4498381d,Oberviechtach,Nordrhein-Westfalen,41
DE-CUST-3733,0x4a3f6f87,Gera,Sachsen,42
DE-CUST-5992,0xb4ac6e7b,Roth,Berlin,43
DE-CUST-340,0xafc16fbe,Aue,,44
DE-CUST-8855,0x814184cd,Wurzen,Hessen,45
DE-CUST-1617,0x6fed4d0a,Geldern,Bayern,46
DE-CUST-7316,0xdab39af9,Nürtingen,Nordrhein-Westfalen,47
DE-CUST-9368,0xe5544374,Neustrelitz,Bayern,48
DE-CUST-71,0xa7fc942d,Neuruppin,Nordrhein-Westfalen,49
DE-CUST-3617,0xb09a6c38,Regensburg,Berlin,50
DE-CUST-6851,0x3086e0ea,Freital,Nordrhein-Westfalen,51
DE-CUST-599,0x6945724,Rathenow,Hessen,52
DE-CUST-1051,0x86809957,Wismar,Hessen,53
DE-CUST-251,0x32094b77,Altötting,Bayern,54
DE-CUST-7821,0xbb4ff2d4,Bremen,Bayern,55
DE-CUST-1455,0x5c88285,Melsungen,Nordrhein-Westfalen,56
DE-CUST-4499,0xd97c50e,Gransee,Bayern,57
DE-CUST-2307,0xbf4f5b47,Vilsbiburg,Bayern,58
DE-CUST-2428,0xc5cd3056,Pößneck,Bayern,59
DE-CUST-7372,0xfe87da9c,Burgdorf,Bayern,60
DE-CUST-9463,0xdbdec976,Mellrichstadt,Sachsen,61
DE-CUST-2448,0x64fc41db,Wiedenbrück,Bayern,62
DE-CUST-1485,0x4dbf3d50,Wolfenbüttel,Nordrhein-Westfalen,63
DE-CUST-6721,0xc0789645,Büsingen am Hochrhein,Hessen,64
DE-CUST-9063,0x64fe978d,Rudolstadt,Sachsen,65
DE-CUST-8429,0x79efd20a,Soltau,Berlin,66
DE-CUST-1290,0x6c2e2493,Torgau,Nordrhein-Westfalen,67
DE-CUST-4006,0x61f41416,Eckernförde,Hessen,68
DE-CUST-6335,0x193be6d,Mainburg,Berlin,69
DE-CUST-5199,0x1f8e008d,Cuxhaven,Bayern,70
DE-CUST-329,0x12c6b53c,Kronach,Berlin,71
DE-CUST-4192,0x65eb76aa,Kulmbach,Hessen,72
DE-CUST-9568,0x4b9ae68e,Auerbach,Sachsen,73
DE-CUST-6596,0xf3a2061e,Monschau,Berlin,74
DE-CUST-253,0x798e4798,Bischofswerda,Nordrhein-Westfalen,75
DE-CUST-1666,0xf7e3a1bf,Mühlhausen,Nordrhein-Westfalen,76
DE-CUST-3311,0xcff6cc77,Recklinghausen,Bayern,77
DE-CUST-2225,0x85183bff,Naila,Berlin,78
DE-CUST-2147,0x152f56fb,Borna,Hessen,79
DE-CUST-9787,0x3e482306,Kehl,Nordrhein-Westfalen,80
DE-CUST-8115,0xf736ea4f,Sangerhausen,Berlin,81
DE-CUST-6172,0xb924bbb5,Heinsberg,Bayern,82
DE-CUST-5922,0x3b884857,Roth,Sachsen,83
DE-CUST-352,0xaeb4a08e,Hersbruck,Bayern,84
DE-CUST-9026,0xfcabc6b5,Genthin,Bayern,85
DE-CUST-6303,0x6f90148c,Schweinfurt,Nordrhein-Westfalen,86
DE-CUST-5653,0x6fae82bd,Günzburg,Berlin,87
DE-CUST-3915,0x49b6b2f6,Gera,Hessen,88
DE-CUST-1793,0xde5ddf2e,Bützow,Berlin,89
DE-CUST-1168,0xf8d999a,Merseburg,Sachsen,90
DE-CUST-8987,0x8f1af756,Vilsbiburg,Hessen,91
DE-CUST-142,0x3aea9d9c,Forst,Sachsen,92
DE-CUST-2971,0x3469b2cd,Königs Wusterhausen,Bayern,93
DE-CUST-4371,0x4a9ff1fd,Illertissen,Hessen,94
DE-CUST-5864,0xcfa78766,Ebersberg,Berlin,95
DE-CUST-5673,0xaddd3300,Bremen,Hessen,96
DE-CUST-3354,0xdea01aa5,Moers,Bayern,97
DE-CUST-8080,0x7050e5bf,Schwerin,Berlin,98
DE-CUST-784,0x7ca41f60,Deggendorf,Hessen,99
DE-CUST-5879,0xb64cfa45,Meißen,Bayern,100
DE-CUST-9161,0x5a40ed64,Regen,Berlin,101
DE-CUST-4763,0x2abcab05,Kitzingen,Nordrhein-Westfalen,102
DE-CUST-3746,0x623314f0,Arnstadt,Sachsen,103
DE-CUST-298,0xa9499d22,Wolfratshausen,Bayern,104
DE-CUST-4269,0x57aa7b19,Konstanz,Sachsen,105
DE-CUST-2990,0x7261d60d,Kaiserslautern,Nordrhein-Westfalen,106
DE-CUST-1737,0x9cad492f,Halberstadt,Nordrhein-Westfalen,107
DE-CUST-5076,0x8ecf0bb9,Pirmasens,Hessen,108
DE-CUST-7302,0x2b8b4584,Sonneberg,Hessen,109
DE-CUST-1986,0xc36df585,Bergzabern,Berlin,110
