Shipping_ID,Processing_Time_Days,Channel,Is_Delayed,Logistics_Key
LOG-229404,8.0,Mobile,False,1
LOG-202630,10.0,In-Store,True,2
LOG-238042,5.0,App,False,3
LOG-251191,3.0,App,False,4
LOG-232361,8.0,Desktop,False,5
LOG-252680,1.0,Mobile,False,6
LOG-242500,3.0,Desktop,False,7
LOG-227852,9.0,Desktop,True,8
LOG-253981,10.0,In-Store,True,9
LOG-200624,7.0,Desktop,False,10
LOG-219971,5.0,App,False,11
LOG-217813,10.0,Desktop,True,12
LOG-236131,10.0,In-Store,True,13
LOG-201897,7.0,App,False,14
LOG-249286,4.0,Desktop,False,15
LOG-214466,2.0,Desktop,False,16
LOG-248357,7.0,Mobile,False,17
LOG-245618,9.0,Desktop,True,18
,6.0,App,False,19
LOG-248394,8.0,Mobile,False,20
LOG-205765,7.0,Mobile,False,21
LOG-202058,4.0,Mobile,False,22
LOG-240459,1.0,In-Store,False,23
LOG-253885,5.0,In-Store,False,24
LOG-223627,5.0,Mobile,False,25
LOG-202652,3.0,Mobile,False,26
LOG-215318,3.0,Mobile,False,27
LOG-229092,3.0,Desktop,False,28
LOG-252621,1.0,In-Store,False,29
LOG-236240,1.0,App,False,30
LOG-213904,2.0,In-Store,False,31
LOG-220891,3.0,App,False,32
LOG-210289,3.0,In-Store,False,33
LOG-230395,9.0,App,True,34
LOG-207708,2.0,Desktop,False,35
LOG-200903,7.0,In-Store,False,36
LOG-220246,4.0,Desktop,False,37
LOG-235431,,Mobile,False,38
LOG-235034,5.0,Desktop,False,39
LOG-208301,8.0,In-Store,False,40
LOG-232467,7.0,Mobile,False,41
LOG-226253,3.0,Desktop,False,42
LOG-224866,2.0,Desktop,False,43
LOG-243126,4.0,App,False,44
LOG-211345,,Mobile,False,45
LOG-226198,3.0,Mobile,False,46
LOG-252393,,Desktop,False,47
LOG-200110,7.0,Mobile,False,48
LOG-244670,5.0,Mobile,False,49
LOG-250877,6.0,App,False,50
LOG-245939,9.0,Mobile,True,51
LOG-211771,7.0,In-Store,False,52
LOG-205994,4.0,Desktop,False,53
LOG-240967,7.0,In-Store,False,54
LOG-219293,3.0,App,False,55
LOG-213004,10.0,Desktop,True,56
LOG-243737,4.0,Desktop,False,57
LOG-208061,6.0,In-Store,False,58
LOG-230295,9.0,Mobile,True,59
LOG-220687,8.0,Mobile,False,60
LOG-210767,7.0,Mobile,False,61
LOG-209185,10.0,In-Store,True,62
LOG-209924,6.0,Mobile,False,63
LOG-226118,1.0,Desktop,False,64
LOG-209274,6.0,In-Store,False,65
LOG-254657,4.0,Desktop,False,66
LOG-204837,7.0,Mobile,False,67
LOG-225944,6.0,In-Store,False,68
LOG-250271,2.0,Mobile,False,69
LOG-246454,9.0,Mobile,True,70
LOG-248803,3.0,Desktop,False,71
LOG-229061,5.0,App,False,72
LOG-204811,9.0,Mobile,True,73
LOG-201665,4.0,App,False,74
LOG-203214,2.0,App,False,75
LOG-224502,9.0,In-Store,True,76
LOG-251327,7.0,Mobile,False,77
LOG-214694,5.0,Mobile,False,78
LOG-202283,4.0,Desktop,False,79
LOG-223741,7.0,Mobile,False,80
LOG-214674,9.0,Mobile,True,81
LOG-253849,1.0,In-Store,False,82
LOG-249097,1.0,Mobile,False,83
LOG-228376,3.0,Desktop,False,84
LOG-201928,5.0,Mobile,False,85
LOG-224918,4.0,In-Store,False,86
LOG-230742,3.0,App,False,87
LOG-238768,1.0,Mobile,False,88
LOG-228947,7.0,Mobile,False,89
LOG-207650,6.0,Desktop,False,90
LOG-226767,5.0,Mobile,False,91
LOG-239415,4.0,App,False,92
LOG-224711,8.0,Desktop,False,93
LOG-215985,,Mobile,False,94
LOG-214297,4.0,Desktop,False,95
LOG-219823,2.0,App,False,96
LOG-241966,3.0,Desktop,False,97
LOG-217932,2.0,App,False,98
LOG-213994,6.0,Desktop,False,99
LOG-225192,5.0,Desktop,False,100
LOG-222802,4.0,App,False,101
LOG-220998,8.0,Desktop,False,102
LOG-212577,10.0,App,True,103
LOG-208098,10.0,Mobile,True,104
LOG-231272,10.0,App,True,105
LOG-207031,9.0,Desktop,True,106
LOG-253076,5.0,Desktop,False,107
LOG-233254,4.0,App,False,108
LOG-227029,5.0,In-Store,False,109
LOG-229913,1.0,Desktop,False,110
LOG-252643,9.0,In-Store,True,111
LOG-234581,10.0,Desktop,True,112
LOG-203700,1.0,Mobile,False,113
LOG-228137,4.0,In-Store,False,114
LOG-205850,3.0,Mobile,False,115
LOG-244252,,Mobile,False,116
LOG-225843,1.0,App,False,117
LOG-201529,5.0,Mobile,False,118
LOG-217473,3.0,App,False,119
LOG-249285,1.0,In-Store,False,120
LOG-249798,9.0,In-Store,True,121
LOG-210465,2.0,Desktop,False,122
LOG-234013,10.0,Desktop,True,123
LOG-251516,7.0,Mobile,False,124
LOG-221375,7.0,Desktop,False,125
